,id,objectid_1,marregion,mrgid,iho_sea,iho_id,iho_mrgid,eez,eez_id,country,sovereign,sov_id,eez_mrgid,longitude,latitude,area_m2
70,eez_iho_union_v2.51,52,Norwegian part of the North Sea,25233,North Sea,4,2350,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,4.058.819.157.873,58.591.406.304.506,1,19547E+11
71,eez_iho_union_v2.52,53,French part of the North Sea,25234,North Sea,4,2350,French Exclusive Economic Zone,179,France,France,179,5677,2.104.363.191.321,51.187.988.789.971,1927370450
72,eez_iho_union_v2.53,54,German part of the North Sea,26568,North Sea,4,2350,German Exclusive Economic Zone,176,Germany,Germany,176,5669,6.793.483.894.013,54.588.366.915.572,41350535760
76,eez_iho_union_v2.58,59,Faeroe Islands part of the Norwegian Sea,25240,Norwegian Sea,6,2353,Faeroe Islands Exclusive Economic Zone,141,Faeroe Islands,Denmark,175,8435,-4.844.418.082.151,63.787.609.132.488,1,25725E+11
77,eez_iho_union_v2.59,60,Jan Mayen part of the Norwegian Sea,25241,Norwegian Sea,6,2353,Jan Mayen Exclusive Economic Zone,144,Jan Mayen,Norway,223,8437,-3.459.372.521.893,70.282.245.964.797,1,72811E+11
78,eez_iho_union_v2.60,61,Icelandic part of the Norwegian Sea,25243,Norwegian Sea,6,2353,Icelandic Exclusive Economic Zone,143,Iceland,Iceland,143,5680,-9.473.222.181.981,66.381.314.002.561,1,283E+11
79,eez_iho_union_v2.61,62,United Kingdom part of the Norwegian Sea,25244,Norwegian Sea,6,2353,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-0.610161707169,62.093.918.903.344,50238018230
80,eez_iho_union_v2.62,63,Norwegian part of the Norwegian Sea,25242,Norwegian Sea,6,2353,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,1.117.230.221.378,69.259.241.373.166,7,33261E+11
484,eez_iho_union_v2.495,511,High seas of the Norwegian Sea,25711,Norwegian Sea,6,2353,NA,0,NA,NA,0,0,1.728.319.964.495,69.193.934.927.975,2,45115E+11
22,eez_iho_union_v2.27,27,Ukrainian part of the Sea of Azov,25209,Sea of Azov,31,3320,Ukrainian Exclusive Economic Zone,75,Ukraine,Ukraine,75,5695,36.062.018.895.463,46.118.295.552.533,25414119070
24,eez_iho_union_v2.28,28,Russian part of the Sea of Azov,25210,Sea of Azov,31,3320,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,37.682.600.738.724,46.189.419.772.394,15757183230
40,eez_iho_union_v2.20,20,Turkish part of the Sea of Marmara,25201,Sea of Marmara,29,3369,Turkish Exclusive Economic Zone,76,Turkey,Turkey,76,5697,2.814.588.450.839,40.670.220.289.343,11873163110
57,eez_iho_union_v2.44,45,Danish part of the Skaggerak,25227,Skaggerak,3,2379,Danish Exclusive Economic Zone,175,Denmark,Denmark,175,5674,9.500.404.461.849,57.656.106.817.961,10308279700
65,eez_iho_union_v2.45,46,Norwegian part of the Skaggerak,25229,Skaggerak,3,2379,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,922.406.649.217,58.376.212.278.043,15606983460
66,eez_iho_union_v2.46,47,Swedish part of the Skaggerak,25228,Skaggerak,3,2379,Swedish Exclusive Economic Zone,222,Sweden,Sweden,222,5694,10.881.881.317.695,58.376.706.470.665,6513140733
404,eez_iho_union_v2.393,400,Gibraltarian part of the Strait of Gibraltar,25601,Strait of Gibraltar,28a,3346,Gibraltarian Exclusive Economic Zone,60,Gibraltar,United Kingdom,180,8365,-5.360.053.591.524,36.095.833.923.184,51401072.17
405,eez_iho_union_v2.394,401,Spanish part of the Strait of Gibraltar,25600,Strait of Gibraltar,28a,3346,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,-5.706.713.854.835,36.032.429.218.906,904719163.1
406,eez_iho_union_v2.395,402,Moroccan part of the Strait of Gibraltar,25599,Strait of Gibraltar,28a,3346,Moroccan Exclusive Economic Zone,62,Morocco,Morocco,62,8367,-5.704.210.523.672,35.888.534.415.608,673891932.5
410,eez_iho_union_v2.403,410,Tunisian part of the Tyrrhenian Sea,25610,Tyrrhenian Sea,28e,3386,Tunisian Exclusive Economic Zone,61,Tunisia,Tunisia,61,8366,10.640.509.483,38.349.835.421,119360390.8
411,eez_iho_union_v2.404,411,Italian part of the Tyrrhenian Sea,25611,Tyrrhenian Sea,28e,3386,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,12.232.630.395.072,4.005.807.049.531,2,09636E+11
412,eez_iho_union_v2.405,412,French part of the Tyrrhenian Sea,25612,Tyrrhenian Sea,28e,3386,French Exclusive Economic Zone,179,France,France,179,5677,969.893.020.522,42.054.214.001.726,7369923961
81,eez_iho_union_v2.63,64,Russian part of the White Sea,25245,White Sea,8,4248,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,39.301.937.928.078,66.255.035.041.565,88968465990
